"IN","STR","UNIT","RXNORM_CUI","VA_CLS","VA_CLS_CD"
"lansoprazole",30,"MG",206206,"GASTRIC MEDICATIONS,OTHER","GA900"
"lansoprazole",30,"MG",206206,"H. PYLORI AGENTS","GA303"
"triamcinolone",0.055,"MG",2289243,"ANTI-INFLAMMATORIES,NASAL","NT200"
"lidocaine",0.05,"MG",1011705,"LOCAL ANESTHETICS,TOPICAL","DE700"
"sildenafil",25,"MG",213269,"ANTIHYPERTENSIVES,OTHER","CV490"
"sildenafil",25,"MG",213269,"GENITO-URINARY AGENTS,OTHER","GU900"
"olmesartan",40,"MG",847055,"ANTIHYPERTENSIVE COMBINATIONS","CV400"
"hydrochlorothiazide",12.5,"MG",847055,"ANTIHYPERTENSIVE COMBINATIONS","CV400"
"clobetasol",0.5,"MG",861355,"ANTI-INFLAMMATORY,TOPICAL","DE200"
"candesartan",4,"MG",577785,"ANGIOTENSIN II INHIBITOR","CV805"
"trimethoprim",1,"MG",208451,"ANTI-INFECTIVE,TOPICAL OPHTHALMIC,OTHER","OP219"
"polymyxin B",10000,"UNT",208451,"ANTI-INFECTIVE,TOPICAL OPHTHALMIC,OTHER","OP219"
"telmisartan",80,"MG",213432,"ANGIOTENSIN II INHIBITOR","CV805"
"tadalafil",10,"MG",402096,"ANTIHYPERTENSIVES,OTHER","CV490"
"tadalafil",10,"MG",402096,"GENITO-URINARY AGENTS,OTHER","GU900"
"selenium sulfide",25,"MG",750084,NA,NA
"calcium citrate",2376,"MG",1536918,"MULTIVITAMINS WITH MINERALS","VT802"
"riboflavin",100,"MG",204625,"RIBOFLAVIN","VT106"
"lansoprazole",1,"MG",791881,"GASTRIC MEDICATIONS,OTHER","GA900"
"candesartan",16,"MG",639539,"ANGIOTENSIN II INHIBITOR","CV805"
"cholestyramine resin",4000,"MG",1801279,"ANTILIPEMIC AGENTS","CV350"
"zolmitriptan",5,"MG",213167,"ANTIMIGRAINE AGENTS","CN105"
"sincalide",0.005,"MG",208236,"NON-IONIC CONTRAST MEDIA","DX101"
"vancomycin",125,"MG",201848,"ANTI-INFECTIVES,OTHER","AM900"
"calcium polycarbophil",625,"MG",404203,NA,NA
"insulin isophane",100,"UNT",150667,"INSULIN","HS501"
"lansoprazole",15,"MG",596918,"GASTRIC MEDICATIONS,OTHER","GA900"
"salmeterol",50,"MCG",866049,"BRONCHODILATORS,SYMPATHOMIMETIC,INHALATION","RE102"
"nitroglycerin",0.4,"MG",995029,"ANTIANGINALS","CV250"
"sodium phosphate, monobasic",161,"MG",1146731,"ANTISPASMODICS,URINARY,OTHER","GU209"
"sodium phosphate, dibasic",59.3,"MG",1146731,"LAXATIVES,RECTAL","RS300"
"pramipexole",0.125,"MG",859035,"ANTIPARKINSON AGENTS","CN500"
"escitalopram",5,"MG",404408,"ANTIDEPRESSANTS,OTHER","CN609"
"loratadine",5,"MG",1242399,"ANTIHISTAMINE/DECONGESTANT","RE501"
"pseudoephedrine",120,"MG",1242399,"ANTIHISTAMINE/DECONGESTANT","RE501"
"azelastine",0.5,"MG",860807,"ANTIHISTAMINES,NASAL","NT400"
"sevelamer",800,"MG",857226,"GENITO-URINARY AGENTS,OTHER","GU900"
"rifapentine",150,"MG",261101,"ANTITUBERCULARS","AM500"
"tolterodine",1,"MG",855180,"ANTISPASMODICS,URINARY","GU201"
"prasterone",25,"MG",242214,"HERBS/ALTERNATIVE THERAPIES","HA000"
"epinephrine",0.5,"MG",727316,"SYMPATHOMIMETICS (ADRENERGICS)","AU100"
"mupirocin",20,"MG",213182,"ANTIBACTERIAL,TOPICAL","DE101"
"oxybutynin",5,"MG",863638,"ANTISPASMODICS,URINARY","GU201"
"pramipexole",0.25,"MG",859042,"ANTIPARKINSON AGENTS","CN500"
"mometasone",0.05,"MG",1797870,"ANTI-INFLAMMATORIES,NASAL","NT200"
"chlorothiazide",500,"MG",996476,"THIAZIDES/RELATED DIURETICS","CV701"
"thrombin",2000,"UNT",1243771,"ANTIHEMORRHAGICS","BL116"
"budesonide",0.125,"MG",616830,"ANTI-INFLAMMATORIES,INHALATION","RE101"
"budesonide",0.25,"MG",616817,"ANTI-INFLAMMATORIES,INHALATION","RE101"
"timolol",5,"MG",1923433,"ANTIGLAUCOMA COMBINATIONS,TOPICAL OPHTHALMIC","OP105"
"dorzolamide",20,"MG",1923433,"ANTIGLAUCOMA COMBINATIONS,TOPICAL OPHTHALMIC","OP105"
"enoxaparin",150,"MG",854253,"ANTICOAGULANTS","BL110"
"pentamidine",50,"MG",861599,"ANTIPROTOZOALS,OTHER","AP109"
"plant stanol ester",500,"MG",259088,NA,NA
"testosterone",0.208,"MG",261193,"ANDROGENS/ANABOLICS","HS100"
"modafinil",200,"MG",213471,"CNS STIMULANTS,OTHER","CN809"
"biotin",5,"MG",308744,"HERBS/ALTERNATIVE THERAPIES","HA000"
"biotin",5,"MG",308744,"VITAMIN B,OTHER","VT109"
"famciclovir",500,"MG",206853,"ANTIVIRALS","AM800"
"exemestane",25,"MG",261317,"ANTINEOPLASTIC,OTHER","AN900"
"magnesium hydroxide",160,"MG",845652,"MAGNESIUM CONTAINING ANTACIDS","GA108"
"clonidine",0.0125,"MG",998681,"ANTIHYPERTENSIVES,OTHER","CV490"
"levetiracetam",750,"MG",284391,"ANTICONVULSANTS","CN400"
"tenofovir disoproxil",300,"MG",352050,"ANTIVIRALS","AM800"
"zolpidem",5,"MG",854878,"SEDATIVES/HYPNOTICS,OTHER","CN309"
"telmisartan",20,"MG",284531,"ANGIOTENSIN II INHIBITOR","CV805"
"chlorpheniramine",4,"MG",1421985,"ANTIHISTAMINE/ANTITUSSIVE","RE507"
"dextromethorphan",30,"MG",1421985,"ANTIHISTAMINE/ANTITUSSIVE","RE507"
"donepezil",5,"MG",997230,"CNS MEDICATIONS,OTHER","CN900"
"miconazole",0.02,"MG",1427984,NA,NA
"carboxymethylcellulose",5,"MG",1603466,"EYE WASHES/LUBRICANTS","OP500"
"zinc acetate",50,"MG",213050,"ZINC","TN450"
"carbamazepine",200,"MG",866305,"ANTICONVULSANTS","CN400"
"urea",200,"MG",212427,"EMOLLIENTS","DE350"
"ergocalciferol",1.25,"MG",1367416,"ERGOCALCIFEROL","VT504"
"prasterone",25,"MG",242213,"HERBS/ALTERNATIVE THERAPIES","HA000"
"hydrocortisone",10,"MG",208712,"GLUCOCORTICOIDS","HS051"
"collagenase",0.25,"UNT",1149617,"DERMATOLOGICALS,TOPICAL OTHER","DE900"
"famotidine",8,"MG",206873,"ANTACIDS,OTHER","GA199"
"desloratadine",5,"MG",352086,"ANTIHISTAMINES,OTHER","AH109"
"belladonna alkaloids",16.2,"MG",312104,"OPIOID ANALGESICS","CN101"
"opium",30,"MG",312104,"OPIOID ANALGESICS","CN101"
"doxylamine",25,"MG",2257285,"ANTIHISTAMINES,ETHANOLAMINE","AH102"
"zaleplon",5,"MG",261285,"SEDATIVES/HYPNOTICS,OTHER","CN309"
"azelastine",0.137,"MG",1797876,"ANTIHISTAMINES,NASAL","NT400"
"albuterol",0.09,"MG",836366,"ANTIASTHMA,OTHER","RE109"
"ipratropium",0.018,"MG",836366,"ANTIASTHMA,OTHER","RE109"
"budesonide",3,"MG",1244215,"GLUCOCORTICOIDS","HS051"
"insulin lispro",100,"UNT",615910,"INSULIN","HS501"
"epinephrine",1,"MG",1305269,"SYMPATHOMIMETICS (ADRENERGICS)","AU100"
"salmeterol",50,"MCG",896165,"ANTIASTHMA,OTHER","RE109"
"fluticasone",0.1,"MG",896165,"ANTIASTHMA,OTHER","RE109"
"exenatide",0.01,"MG",847913,"BLOOD GLUCOSE REGULATION AGENTS","HS500"
"simethicone",125,"MG",1366212,"GASTRIC MEDICATIONS,OTHER","GA900"
"levofloxacin",750,"MG",284481,"QUINOLONES","AM400"
"letrozole",2.5,"MG",153124,"ANTINEOPLASTIC,OTHER","AN900"
"methylprednisolone",32,"MG",207141,"GLUCOCORTICOIDS","HS051"
"hydrochlorothiazide",12.5,"MG",809026,"ANTIHYPERTENSIVE COMBINATIONS","CV400"
"valsartan",320,"MG",809026,"ANTIHYPERTENSIVE COMBINATIONS","CV400"
"testosterone",100,"MG",835831,"ANDROGENS/ANABOLICS","HS100"
"chlorpheniramine",1.6,"MG",1087463,"OPIOID-CONTAINING ANTITUSSIVES/EXPECTORANTS","RE301"
"hydrocodone",2,"MG",1087463,"OPIOID-CONTAINING ANTITUSSIVES/EXPECTORANTS","RE301"
"losartan",50,"MG",979470,"ANTIHYPERTENSIVE COMBINATIONS","CV400"
"hydrochlorothiazide",12.5,"MG",979470,"ANTIHYPERTENSIVE COMBINATIONS","CV400"
"acetaminophen",500,"MG",1092206,"COLD REMEDIES,OTHER","RE599"
"diphenhydramine",25,"MG",1092206,"ANTIHISTAMINES,ETHANOLAMINE","AH102"
"ibutilide",0.1,"MG",979122,"ANTIARRHYTHMICS","CV300"
"glucose",0.4,"MG",211373,"IV SOLUTIONS WITHOUT ELECTROLYTES","TN101"
"acetaminophen",325,"MG",1046781,"COLD REMEDIES,OTHER","RE599"
"chlorpheniramine",2,"MG",1046781,"COLD REMEDIES,OTHER","RE599"
"phenylephrine",5,"MG",1046781,"COLD REMEDIES,OTHER","RE599"
"venlafaxine",37.5,"MG",208850,"ANTIDEPRESSANTS,OTHER","CN609"
"acyclovir",0.05,"MG",209977,"ANTIVIRAL,TOPICAL","DE103"
"tazarotene",1,"MG",284497,"ANTIACNE AGENTS,TOPICAL","DE752"
"estradiol",0.00156,"MG",261198,"ESTROGENS","HS300"
"vitamin B12",0.25,"MG",309604,"CYANOCOBALAMIN","VT101"
"betamethasone",1.2,"MG",1244636,"ANTI-INFLAMMATORY,TOPICAL","DE200"
"methylprednisolone",16,"MG",207138,"GLUCOCORTICOIDS","HS051"
"ondansetron",4,"MG",876690,"ANTIEMETICS","GA605"
"cefdinir",300,"MG",285012,NA,NA
"nateglinide",120,"MG",284530,"ORAL HYPOGLYCEMIC AGENTS,ORAL","HS502"
"hydrocortisone",5,"MG",208680,"GLUCOCORTICOIDS","HS051"
"ubidecarenone",150,"MG",199652,"HERBS/ALTERNATIVE THERAPIES","HA000"
"valproate",500,"MG",1099571,"ANTICONVULSANTS","CN400"
"tiagabine",12,"MG",1299967,"ANTICONVULSANTS","CN400"
"loteprednol etabonate",2,"MG",213262,"ANTI-INFLAMMATORIES,TOPICAL OPHTHALMIC","OP300"
"risperidone",1,"MG",104781,"ANTIPSYCHOTICS,OTHER","CN709"
"metronidazole",10,"MG",213120,"ANTIACNE AGENTS,TOPICAL","DE752"
"colestipol",1000,"MG",1048447,"ANTILIPEMIC AGENTS","CV350"
"cholecalciferol",0.01,"MG",209638,"VITAMIN D,OTHER","VT509"
"loratadine",5,"MG",1242401,"ANTIHISTAMINE/DECONGESTANT","RE501"
"pseudoephedrine",120,"MG",1242401,"ANTIHISTAMINE/DECONGESTANT","RE501"
"progesterone",200,"MG",261319,"PROGESTINS","HS800"
"fluocinolone",0.1,"MG",1191309,"ANTI-INFLAMMATORY,TOPICAL","DE200"
"fluticasone",50,"MCG",896019,"ANTI-INFLAMMATORIES,INHALATION","RE101"
"ivermectin",3,"MG",261314,"ANTHELMINTICS","AP200"
"ascorbic acid",100,"MG",198893,"VITAMIN C","VT400"
"potassium chloride",25,"MEQ",1867554,"POTASSIUM","TN430"
"dofetilide",0.5,"MG",285016,"ANTIARRHYTHMICS","CV300"
"cholecalciferol",0.125,"MG",240029,"VITAMIN D,OTHER","VT509"
"lamotrigine",100,"MG",105018,"ANTICONVULSANTS","CN400"
"finasteride",5,"MG",201961,"HORMONES/SYNTHETICS/MODIFIERS,OTHER","HS900"
"brimonidine",1.5,"MG",861210,"ANTIGLAUCOMA,OTHER","OP109"
"irbesartan",300,"MG",153667,"ANGIOTENSIN II INHIBITOR","CV805"
"acetaminophen",650,"MG",209366,"NON-OPIOID ANALGESICS","CN103"
"ethinyl estradiol",0.005,"MG",1116552,"HORMONES/SYNTHETICS/MODIFIERS,OTHER","HS900"
"norethindrone",1,"MG",1116552,"HORMONES/SYNTHETICS/MODIFIERS,OTHER","HS900"
"leuprolide",20,"MG",1946522,"ANTINEOPLASTIC HORMONES","AN500"
"Streptococcus pneumoniae type 1 capsular polysaccharide antigen",0.05,"MG",1658472,"VACCINES","IM100"
"Streptococcus pneumoniae type 10A capsular polysaccharide antigen",0.05,"MG",1658472,"VACCINES","IM100"
"Streptococcus pneumoniae type 11A capsular polysaccharide antigen",0.05,"MG",1658472,"VACCINES","IM100"
"Streptococcus pneumoniae type 12F capsular polysaccharide antigen",0.05,"MG",1658472,"VACCINES","IM100"
"Streptococcus pneumoniae type 14 capsular polysaccharide antigen",0.05,"MG",1658472,"VACCINES","IM100"
"Streptococcus pneumoniae type 15B capsular polysaccharide antigen",0.05,"MG",1658472,"VACCINES","IM100"
"Streptococcus pneumoniae type 17F capsular polysaccharide antigen",0.05,"MG",1658472,"VACCINES","IM100"
"Streptococcus pneumoniae type 18C capsular polysaccharide antigen",0.05,"MG",1658472,"VACCINES","IM100"
"Streptococcus pneumoniae type 19A capsular polysaccharide antigen",0.05,"MG",1658472,"VACCINES","IM100"
"Streptococcus pneumoniae type 19F capsular polysaccharide antigen",0.05,"MG",1658472,"VACCINES","IM100"
"Streptococcus pneumoniae type 2 capsular polysaccharide antigen",0.05,"MG",1658472,"VACCINES","IM100"
"Streptococcus pneumoniae type 20 capsular polysaccharide antigen",0.05,"MG",1658472,"VACCINES","IM100"
"Streptococcus pneumoniae type 22F capsular polysaccharide antigen",0.05,"MG",1658472,"VACCINES","IM100"
"Streptococcus pneumoniae type 23F capsular polysaccharide antigen",0.05,"MG",1658472,"VACCINES","IM100"
"Streptococcus pneumoniae type 3 capsular polysaccharide antigen",0.05,"MG",1658472,"VACCINES","IM100"
"Streptococcus pneumoniae type 33F capsular polysaccharide antigen",0.05,"MG",1658472,"VACCINES","IM100"
"Streptococcus pneumoniae type 4 capsular polysaccharide antigen",0.05,"MG",1658472,"VACCINES","IM100"
"Streptococcus pneumoniae type 5 capsular polysaccharide antigen",0.05,"MG",1658472,"VACCINES","IM100"
"Streptococcus pneumoniae type 6B capsular polysaccharide antigen",0.05,"MG",1658472,"VACCINES","IM100"
"Streptococcus pneumoniae type 7F capsular polysaccharide antigen",0.05,"MG",1658472,"VACCINES","IM100"
"Streptococcus pneumoniae type 8 capsular polysaccharide antigen",0.05,"MG",1658472,"VACCINES","IM100"
"Streptococcus pneumoniae type 9N capsular polysaccharide antigen",0.05,"MG",1658472,"VACCINES","IM100"
"Streptococcus pneumoniae type 9V capsular polysaccharide antigen",0.05,"MG",1658472,"VACCINES","IM100"
"mafenide",85,"MG",201185,"ANTIBACTERIAL,TOPICAL","DE101"
"methylphenidate",36,"MG",1091187,"AMPHETAMINE LIKE STIMULANTS","CN802"
"finasteride",1,"MG",213178,"HORMONES/SYNTHETICS/MODIFIERS,OTHER","HS900"
"dextromethorphan",3,"MG",1234473,"NON-OPIOID-CONTAINING ANTITUSSIVES/EXPECTORANTS","RE302"
"guaifenesin",20,"MG",1234473,"NON-OPIOID-CONTAINING ANTITUSSIVES/EXPECTORANTS","RE302"
"ramipril",10,"MG",260333,"ACE INHIBITORS","CV800"
"progesterone",100,"MG",262080,"PROGESTINS","HS800"
"phenol",14,"MG",1111457,NA,NA
"dorzolamide",20,"MG",151100,"ANTIGLAUCOMA,OTHER","OP109"
"acarbose",25,"MG",213170,"ORAL HYPOGLYCEMIC AGENTS,ORAL","HS502"
"estrogens, conjugated (USP)",0.3,"MG",208513,"ESTROGENS","HS300"
"simethicone",125,"MG",210301,"GASTRIC MEDICATIONS,OTHER","GA900"
"balsalazide",750,"MG",885859,"GASTRIC MEDICATIONS,OTHER","GA900"
"irbesartan",75,"MG",153665,"ANGIOTENSIN II INHIBITOR","CV805"
"testosterone",0.01,"MG",1597132,"ANDROGENS/ANABOLICS","HS100"
"mupirocin",0.02,"MG",108758,"NASAL AND THROAT,TOPICAL,OTHER","NT900"
"calcipotriene",5e-05,"MG",1013636,"ANTIPSORIATICS,TOPICAL","DE820"
"dextroamphetamine",2.5,"MG",861222,"AMPHETAMINES","CN801"
"amphetamine",2.5,"MG",861222,"AMPHETAMINES","CN801"
"ergocalciferol",0.2,"MG",212374,"ERGOCALCIFEROL","VT504"
"estradiol",0.00104,"MG",261197,"ESTROGENS","HS300"
"sumatriptan",50,"MG",209169,"ANTIMIGRAINE AGENTS","CN105"
"pegfilgrastim",10,"MG",727542,"BLOOD FORMATION PRODUCTS","BL400"
"capecitabine",500,"MG",213293,"ANTINEOPLASTICS,ANTIMETABOLITES","AN300"
"betaxolol",2.5,"MG",213729,"BETA-BLOCKERS,TOPICAL OPHTHALMIC","OP101"
"dimethicone",50,"MG",259090,"DERMATOLOGICALS,TOPICAL OTHER","DE900"
"amlexanox",0.05,"MG",351712,NA,NA
"vitamin B12",0.05,"MG",105686,"CYANOCOBALAMIN","VT101"
"vitamin B12",1,"MG",237779,"CYANOCOBALAMIN","VT101"
"methylphenidate",27,"MG",1091172,"AMPHETAMINE LIKE STIMULANTS","CN802"
"zaleplon",10,"MG",261286,"SEDATIVES/HYPNOTICS,OTHER","CN309"
"hydrochlorothiazide",25,"MG",809022,"ANTIHYPERTENSIVE COMBINATIONS","CV400"
"valsartan",160,"MG",809022,"ANTIHYPERTENSIVE COMBINATIONS","CV400"
"rabies immune globulin, human",150,"UNT",1652834,"IMMUNOGLOBULINS","IM500"
"enoxaparin",100,"MG",854232,"ANTICOAGULANTS","BL110"
"enoxaparin",100,"MG",854249,"ANTICOAGULANTS","BL110"
"enoxaparin",100,"MG",854236,"ANTICOAGULANTS","BL110"
"metaproterenol",0.65,"MG",991633,NA,NA
"testosterone",0.167,"MG",1190957,"ANDROGENS/ANABOLICS","HS100"
"potassium phosphate",0.0408,"MEQ",1101778,"PHOSPHORUS","TN475"
"methotrexate",10,"MG",284593,"ANTINEOPLASTICS,ANTIMETABOLITES","AN300"
"levetiracetam",250,"MG",1875868,"ANTICONVULSANTS","CN400"
"adenosine",3,"MG",727361,"ANTIARRHYTHMICS","CV300"
"insulin lispro",100,"UNT",1652639,"INSULIN","HS501"
"rabies virus vaccine flury-lep strain",2.5,"UNT",830463,"VACCINES","IM100"
"amlodipine",10,"MG",898344,"ANTIHYPERTENSIVE COMBINATIONS","CV400"
"benazepril",20,"MG",898344,"ANTIHYPERTENSIVE COMBINATIONS","CV400"
"linezolid",2,"MG",1662286,"ANTI-INFECTIVES,OTHER","AM900"
"epoetin alfa",40000,"UNT",213475,"BLOOD FORMATION PRODUCTS","BL400"
"diazepam",5,"MG",200937,"BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS","CN302"
"amlodipine",5,"MG",898358,"ANTIHYPERTENSIVE COMBINATIONS","CV400"
"benazepril",20,"MG",898358,"ANTIHYPERTENSIVE COMBINATIONS","CV400"
"morphine",10,"MG",892531,"OPIOID ANALGESICS","CN101"
"estradiol",0.00313,"MG",1149638,"ESTROGENS","HS300"
"morphine",2,"MG",998212,"OPIOID ANALGESICS","CN101"
"lorazepam",2,"MG",763028,"BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS","CN302"
"meclizine",25,"MG",995766,"ANTIVERTIGO AGENTS","CN550"
"ergocalciferol",1.25,"MG",310142,"ERGOCALCIFEROL","VT504"
"enoxaparin",150,"MG",854247,"ANTICOAGULANTS","BL110"
"labetalol",5,"MG",896775,"BETA BLOCKERS/RELATED","CV100"
"betamethasone",0.5,"MG",848197,"ANTIPSORIATICS,TOPICAL","DE820"
"valsartan",40,"MG",352274,"ANGIOTENSIN II INHIBITOR","CV805"
"insulin aspart protamine, human",70,"UNT",977840,"INSULIN","HS501"
"insulin aspart, human",30,"UNT",977840,"INSULIN","HS501"
"eplerenone",25,"MG",402106,"POTASSIUM SPARING/COMBINATIONS DIURETICS","CV704"
"metaxalone",800,"MG",352277,"SKELETAL MUSCLE RELAXANTS","MS200"
"simethicone",180,"MG",860055,"GASTRIC MEDICATIONS,OTHER","GA900"
"glucagon",1,"MG",310497,"ANTIHYPOGLYCEMICS","HS503"
"dronabinol",5,"MG",205642,"ANTIEMETICS","GA605"
"atropine",0.0194,"MG",1728766,"MYDRIATICS/CYCLOPLEGICS,TOPICAL OPHTHALMIC","OP600"
"hyoscyamine",0.1037,"MG",1728766,"ANTISPASMODICS,URINARY,OTHER","GU209"
"phenobarbital",16.2,"MG",1728766,NA,NA
"scopolamine",0.0065,"MG",1728766,"ANTIVERTIGO AGENTS","CN550"
"polyvinyl alcohol",0.014,"ML",1046287,"EYE WASHES/LUBRICANTS","OP500"
"povidone",6,"MG",1046287,"EYE WASHES/LUBRICANTS","OP500"
"insulin isophane",100,"UNT",847201,"INSULIN","HS501"
"sumatriptan",100,"MG",284460,"ANTIMIGRAINE AGENTS","CN105"
"adalimumab",50,"MG",727705,"ANTIRHEUMATICS,OTHER","MS190"
"insulin aspart protamine, human",70,"UNT",977842,"INSULIN","HS501"
"insulin aspart, human",30,"UNT",977842,"INSULIN","HS501"
"nicotine",2,"MG",748051,"ANTIDOTES/DETERRENTS,OTHER","AD900"
"beclomethasone",0.042,"MG",1797917,"ANTI-INFLAMMATORIES,NASAL","NT200"
"tretinoin",0.2,"MG",846955,"ANTIACNE AGENTS,TOPICAL","DE752"
"sodium acetate",0.0163,"MEQ",800988,"IV SOLUTIONS WITH ELECTROLYTES","TN102"
"sodium gluconate",5.02,"MG",800988,"IV SOLUTIONS WITH ELECTROLYTES","TN102"
"magnesium chloride",0.00148,"MEQ",800988,"IV SOLUTIONS WITH ELECTROLYTES","TN102"
"potassium chloride",0.0497,"MEQ",800988,"IV SOLUTIONS WITH ELECTROLYTES","TN102"
"sodium chloride",0.0899,"MEQ",800988,"IV SOLUTIONS WITH ELECTROLYTES","TN102"
"methotrexate",25,"MG",1655959,"ANTINEOPLASTICS,ANTIMETABOLITES","AN300"
"diltiazem",180,"MG",833695,"CALCIUM CHANNEL BLOCKERS","CV200"
"cromolyn",0.8,"MG",1360159,"NASAL AND THROAT,TOPICAL,OTHER","NT900"
"cisatracurium",2,"MG",210677,"NEUROMUSCULAR BLOCKING AGENTS","MS300"
"cyclosporine",0.5,"MG",2572293,"ANTI-INFLAMMATORIES,TOPICAL OPHTHALMIC","OP300"
"moxifloxacin",5,"MG",404473,"ANTIBACTERIALS,TOPICAL OPHTHALMIC","OP210"
"risperidone",1,"MG",806298,"ANTIPSYCHOTICS,OTHER","CN709"
"codeine",2,"MG",1113390,"OPIOID-CONTAINING ANTITUSSIVES/EXPECTORANTS","RE301"
"phenylephrine",1,"MG",1113390,"DECONGESTANTS,NASAL","NT100"
"promethazine",1.25,"MG",1113390,"ANTIHISTAMINE/ANTITUSSIVE","RE507"
"methylcellulose",500,"MG",352178,"BULK-FORMING LAXATIVES","GA201"
"acyclovir",50,"MG",825321,"ANTIVIRAL,TOPICAL","DE103"
"levofloxacin",5,"MG",1665508,"QUINOLONES","AM400"
"omalizumab",150,"MG",1657212,"IMMUNE SUPPRESSANTS","IM600"
"estradiol",0.00156,"MG",404656,"ESTROGENS","HS300"
"lipase",8000,"UNT",351536,"DIGESTANTS","GA500"
"amylase",30000,"UNT",351536,"DIGESTANTS","GA500"
"protease",30000,"UNT",351536,"DIGESTANTS","GA500"
"guaifenesin",40,"MG",1086004,"COLD REMEDIES,OTHER","RE599"
"aripiprazole",5,"MG",404602,"ANTIPSYCHOTICS,OTHER","CN709"
"ciprofloxacin",3,"MG",404630,"ANTI-INFECTIVE/ANTI-INFLAMMATORY COMBINATIONS,TOPICAL OTIC","OT250"
"dexamethasone",1,"MG",404630,"ANTI-INFECTIVE/ANTI-INFLAMMATORY COMBINATIONS,TOPICAL OTIC","OT250"
"palonosetron",0.05,"MG",1728056,"ANTIEMETICS","GA605"
"aspirin",250,"MG",209472,"SODIUM BICARBONATE CONTAINING ANTACIDS","GA110"
"acetaminophen",250,"MG",209472,"NON-OPIOID ANALGESICS","CN103"
"caffeine",65,"MG",209472,"NON-OPIOID ANALGESICS","CN103"
"carbachol",0.1,"MG",991606,"MIOTICS,TOPICAL OPHTHALMIC","OP102"
"tacrolimus",3e-04,"MG",284521,"ANTIPSORIATICS,TOPICAL","DE820"
"atovaquone",150,"MG",211947,"ANTIPROTOZOALS,OTHER","AP109"
"ceftriaxone",2000,"MG",1665046,"CEPHALOSPORIN 3RD GENERATION","AM117"
"fluvastatin",20,"MG",103918,"ANTILIPEMIC AGENTS","CV350"
"triamterene",50,"MG",208675,"POTASSIUM SPARING/COMBINATIONS DIURETICS","CV704"
"venlafaxine",50,"MG",208851,"ANTIDEPRESSANTS,OTHER","CN609"
"vitamin K1",5,"MG",207839,"PHYTONADIONE","VT702"
"modafinil",100,"MG",226426,"CNS STIMULANTS,OTHER","CN809"
"aminophylline",25,"MG",1724668,"BRONCHODILATORS,XANTHINE-DERIVATIVE","RE104"
"aminophylline",25,"MG",1724666,"BRONCHODILATORS,XANTHINE-DERIVATIVE","RE104"
"ketorolac",4,"MG",860105,"ANTI-INFLAMMATORIES,TOPICAL OPHTHALMIC","OP300"
"vardenafil",20,"MG",404639,"GENITO-URINARY AGENTS,OTHER","GU900"
"omeprazole",20,"MG",608796,"GASTRIC MEDICATIONS,OTHER","GA900"
"biotin",0.5,"MG",245456,"HERBS/ALTERNATIVE THERAPIES","HA000"
"bupropion",300,"MG",993564,"ANTIDEPRESSANTS,OTHER","CN609"
"bupropion",150,"MG",993545,"ANTIDEPRESSANTS,OTHER","CN609"
"ginger root",250,"MG",284059,NA,NA
"candesartan",32,"MG",639543,"ANGIOTENSIN II INHIBITOR","CV805"
"acetylcholine",10,"MG",876553,"MIOTICS,TOPICAL OPHTHALMIC","OP102"
"melatonin",1,"MG",199425,"HERBS/ALTERNATIVE THERAPIES","HA000"
"alfuzosin",10,"MG",861134,"ALPHA BLOCKERS/RELATED","CV150"
"methylphenidate",10,"MG",1091139,"AMPHETAMINE LIKE STIMULANTS","CN802"
"olmesartan",5,"MG",352199,"ANGIOTENSIN II INHIBITOR","CV805"
"ubidecarenone",300,"MG",410597,"HERBS/ALTERNATIVE THERAPIES","HA000"
"bismuth subsalicylate",17.5,"MG",1491881,"ANTIDIARRHEAL AGENTS","GA208"
"dextromethorphan",15,"MG",1111766,"NON-OPIOID-CONTAINING ANTITUSSIVES/EXPECTORANTS","RE302"
"tadalafil",20,"MG",849866,"ANTIHYPERTENSIVES,OTHER","CV490"
"tadalafil",20,"MG",849866,"GENITO-URINARY AGENTS,OTHER","GU900"
"estrogens, conjugated (USP)",0.3,"MG",404554,"ESTROGENS","HS300"
"medroxyprogesterone",1.5,"MG",404554,"HORMONES/SYNTHETICS/MODIFIERS,OTHER","HS900"
"ramipril",2.5,"MG",104384,"ACE INHIBITORS","CV800"
"topiramate",50,"MG",151227,"ANTICONVULSANTS","CN400"
"chondroitin sulfates",250,"MG",259143,"HERBS/ALTERNATIVE THERAPIES","HA000"
"metformin",1000,"MG",860998,"ORAL HYPOGLYCEMIC AGENTS,ORAL","HS502"
"metformin",500,"MG",861002,"ORAL HYPOGLYCEMIC AGENTS,ORAL","HS502"
"sulfacetamide",100,"MG",1006691,"ANTIBACTERIAL,TOPICAL","DE101"
"minocycline",50,"MG",207353,"TETRACYCLINES","AM250"
"tretinoin",4e-04,"MG",805370,"ANTIACNE AGENTS,TOPICAL","DE752"
"dextroamphetamine",6.25,"MG",861228,"AMPHETAMINES","CN801"
"amphetamine",6.25,"MG",861228,"AMPHETAMINES","CN801"
"trospium",20,"MG",857562,NA,NA
"duloxetine",20,"MG",596928,"ANTIDEPRESSANTS,OTHER","CN609"
"phenytoin",100,"MG",855673,"ANTICONVULSANTS","CN400"
